epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5224,2.48367,4.22713,1.97189,0.00202,0.19969,0.00958,0.00338,1.98474,3.73714,1.57001,0.09109,9e-05,9e-05
2,57.4726,1.86715,2.75281,1.36816,0.00042,0.08811,0.00043,0.0001,2.79167,3.70886,2.13719,0.0811894,0.000189373,0.000189373
3,62.4161,1.80006,1.86965,1.27657,0,0,0,0,2.63549,4.29949,1.72156,0.0712881,0.000288086,0.000288086
4,67.1138,1.74366,1.51726,1.22525,0,0,0,0,2.53209,4.64824,1.62741,0.0613861,0.000386139,0.000386139
5,72.0906,1.65524,1.36735,1.20132,0,0,0,0,1.86389,4.56567,1.2462,0.0514835,0.000483532,0.000483532
6,77.1895,1.61803,1.24858,1.18624,0.82099,0.14452,0.47151,0.26823,1.74464,4.22252,1.18689,0.0415803,0.000580265,0.000580265
7,82.2069,1.58173,1.1715,1.14682,0.56663,0.61604,0.5847,0.32399,1.69404,3.41204,1.18796,0.0316763,0.000676338,0.000676338
8,87.9992,1.58309,1.14846,1.16179,0.43827,0.62788,0.53188,0.28111,1.81058,3.3705,1.2293,0.0217718,0.000771751,0.000771751
9,93.2897,1.59841,1.13935,1.14928,0.22756,0.71567,0.47841,0.2254,1.83168,3.04501,1.23799,0.0118665,0.000866504,0.000866504
10,98.5447,1.53576,1.09163,1.1414,0.1742,0.85495,0.61827,0.29263,1.78065,2.4967,1.20401,0.0019606,0.000960597,0.000960597
11,103.531,1.52239,1.04648,1.13512,0.84487,0.33754,0.57813,0.2885,1.66449,2.35343,1.18486,0.000967,0.000967,0.000967
12,108.49,1.52374,1.0144,1.12989,0.84293,0.46493,0.70099,0.34225,1.72064,1.92677,1.18933,0.0009637,0.0009637,0.0009637
13,113.486,1.5202,1.01372,1.12887,0.67028,0.46689,0.51368,0.23934,1.71452,1.96069,1.22182,0.0009604,0.0009604,0.0009604
14,118.475,1.46682,0.99706,1.11609,0.74735,0.59003,0.68788,0.33163,1.75499,1.61404,1.22031,0.0009571,0.0009571,0.0009571
15,123.406,1.46476,0.97472,1.11027,0.79762,0.62856,0.75321,0.36753,1.64302,1.24581,1.18375,0.0009538,0.0009538,0.0009538
16,128.684,1.48314,0.96506,1.11515,0.83699,0.5742,0.6661,0.33714,1.68244,1.21511,1.25549,0.0009505,0.0009505,0.0009505
17,133.977,1.48635,0.94579,1.1143,0.71328,0.57493,0.65294,0.31928,1.7224,1.29521,1.25574,0.0009472,0.0009472,0.0009472
18,138.956,1.45422,0.93096,1.09637,0.86472,0.62137,0.75853,0.39149,1.60161,1.11467,1.17411,0.0009439,0.0009439,0.0009439
19,144.23,1.4369,0.91649,1.09766,0.85681,0.5494,0.63236,0.3276,1.67424,1.31526,1.22147,0.0009406,0.0009406,0.0009406
20,149.472,1.4414,0.90148,1.0938,0.7357,0.66135,0.72594,0.32366,1.79465,1.12739,1.27789,0.0009373,0.0009373,0.0009373
21,154.752,1.42694,0.89522,1.09007,0.79408,0.62894,0.71699,0.37097,1.60142,1.15369,1.16738,0.000934,0.000934,0.000934
22,159.975,1.42625,0.87029,1.08496,0.81987,0.68194,0.75009,0.37863,1.64206,1.09537,1.18749,0.0009307,0.0009307,0.0009307
23,165.317,1.4272,0.87841,1.07874,0.77989,0.5829,0.66307,0.36509,1.61898,1.22394,1.17027,0.0009274,0.0009274,0.0009274
24,170.319,1.41562,0.85409,1.08525,0.80738,0.65044,0.72887,0.35184,1.68736,1.13363,1.23791,0.0009241,0.0009241,0.0009241
25,175.547,1.39254,0.84034,1.07581,0.78899,0.65452,0.74792,0.3708,1.6952,1.06352,1.26155,0.0009208,0.0009208,0.0009208
26,180.752,1.43862,0.8496,1.07799,0.80581,0.71572,0.80089,0.41857,1.54119,0.91835,1.14076,0.0009175,0.0009175,0.0009175
27,185.732,1.36277,0.81444,1.06609,0.78945,0.70005,0.7719,0.35989,1.72599,0.98082,1.24265,0.0009142,0.0009142,0.0009142
28,190.665,1.37368,0.80882,1.07084,0.77129,0.61238,0.72341,0.33231,1.76277,1.16264,1.2368,0.0009109,0.0009109,0.0009109
29,195.994,1.40047,0.82075,1.07343,0.78751,0.71536,0.78225,0.41099,1.58628,0.9322,1.18799,0.0009076,0.0009076,0.0009076
30,201.188,1.35654,0.80293,1.07555,0.88247,0.654,0.79029,0.40136,1.60396,0.94841,1.17674,0.0009043,0.0009043,0.0009043
